author,rating,title,content,updated_date
Fsgueue,1,진짜 개쓰레기앱,"Pc결제란 곧 죽어도 안 뜨고 코드
입력란 꼭꼭 숨겨놔서 개발자 아니면 못할듯 다 숨겨 놓으면 이용자를 못 쓰게 하는건지 아니면 해킹범들 못 쓰게 만들건지 하나도 모르겠다",2025-06-27T19:40:05-07:00
고래가요,1,사용자 편의 박살남,메인화면에 광고랑 이벤트만 넣어놓고 통장 송금기능 제일 많이 활용하는 거 알면서 꽁꽁숨겨두고 위치가 바뀜. 어플 통합 못 시킨건 말해 뭐해. 이런거 하나하나에 고객 이탈함. 저도 토스로 싹다 옮겼습니다.,2025-06-24T07:08:54-07:00
힝힝 아힝,2,네트워크설정확인하라며 앱 작동이안되요..,작동 왜 안돼!!!!,2025-06-23T21:30:04-07:00
You and IU,1,개선필요,"1) 검색 시 FAQ까지 있는 모든 내용들이 다 긁어와져 그런지 검색어 입력이 제대로 안되는 현상이 빈번하게 나타납니다. 

2) KB Pay 결제 시 QR, 바코드가.. 타 Pay 앱 대비 너무너무 지나칠 정도로 작게 나와서 결제할 때 번거로움이 많습니다. 네**페이처럼 하단으로 밀었을 때 QR코드 확대 되는 등의 QR코드 크기 조정이 필요합니다.

3) KBpay에 Face Id 등록해놨을 때
결제하려고 하면 앱 켤 때 한 번, 결제하기 누르고 한 번.. 굳이 이중으로까지 해뇌야 하는가? 앱이 쾌적해서 빠릿빠릿 되는 것도 아니고 느려터졌는데 이중으로 페이스아이디 인증해야하니 시간도 너무 걸리고, 번거롭습니다..

4) KB Pay를 메인으로 쓰려고 해도 지원되는 멤버십이 너무 적네요.. 일일이 수동으로 등록해야 하는데 굳이.. 이걸 써야하나? 싶은 생각만 들 정도입니다.",2025-06-23T17:51:00-07:00
가로세로위아래,5,결제이후에 삼성선물앱이 뜨는이유?,"유진선물앱에서 범용공동인증서 유료결제를 kbpay통해서 했는데 결제하고 나니 유진선물앱이 호출되는게 아니고 삼성선물앱이 호출되네요? 삼성선물앱삭제하니 nh선물앱이 호출되구요. Nh선물앱도 삭제하니 그제서야 유진선물앱이 호출됩니다.
확인후 조치해주세요.",2025-06-19T23:58:31-07:00
ppikki,4,다음달 결제금액도 카드별 금액 보이게 해주시죠,"이번달 결제금액은 카드별로 볼수있는데  다음달 결제예정금액도 카드별로 보이게 해주셔요 
아무리 찾아도 없네요",2025-06-18T21:16:06-07:00
불방맹24,1,안켜짐,ㄹㅇ;,2025-06-17T22:55:13-07:00
해달이아빠,1,카드 재발급 중단,가지고 있던 대부분 카드는 재발급 중단 및 단종처리. 더이상 사용할 카드가 없는데 실적충족 확인하는거 편해졌다고 알림 보내는데 무얼 확인하라는건지. 더이상 쓸만한 카드가 없러 kb는 회원탈퇴가 답이다. 스타뱅킹의 카드 결제는 일반 카드 결제외 달라 인되는 매장도 많고 해결할 방법도 없어 암튼 미끼로 던져놓고 그거 물면 해당 카드랑 서비스 다 없래버림 이런 낚시하는 회사의 제퓸은 사용하지 말아야 해요.,2025-06-15T19:29:03-07:00
disilsslaowosk,1,하 진짜,회원가입하려는데 계속 주민번호가 유효하지 않다고 뜨네요 해결해주세요,2025-06-13T05:00:44-07:00
도도한은갈치,1,진짜 어플쓰레기같음,내용 다 작성하고 제출하니까 업데이트하라함 ㅈ같은 어플,2025-06-11T09:32:50-07:00
